Name,PlateBoundaryType,Point1,Point2,Point3,Point4,Point5,Point6,Point7,Point8,Point9,Point10,Point11,Point12,Point13,Point14,Point15,Point16,Point17,Point18,Point19,Point20,Point21,Point22,Point23,Point24,Point25,Point26,Point27,Point28,Point29,Point30,Point31,Point32,Point33,Point34,Point35,Point36,Point37,Point38,Point39,Point40,Point41,Point42,Point43,Point44,Point45,Point46,Point47,Point48,Point49,Point50,Point51,Point52,Point53,Point54,Point55,Point56,Point57,Point58,Point59,Point60,Point61,Point62,Point63,Point64,Point65,Point66,Point67,Point68,Point69,Point70,Point71,Point72,Point73,Point74,Point75,Point76,Point77,Point78,Point79,Point80,Point81,Point82,Point83,Point84,Point85,Point86,Point87,Point88,Point89,Point90,Point91,Point92,Point93,Point94,Point95,Point96,Point97,Point98,geometry
Eurasian:North American,Transform Boundary,"86.6060028079833 , 66.3010025028633","86.6549987795701 , 66.5439987180665","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA"," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , ","list(c(66.3010025028633, 66.5439987180665, 86.6060028079833, 86.6549987795701, 0, 0))"
Eurasian:North American,Divergent Boundary,"86.6549987795701 , 66.5439987180665","86.7549972532207 , 62.463001250907","86.8050003054198 , 61.5060005190088","86.7870025636175 , 58.0180015560271","86.7460021972437 , 54.5610008237291","86.7060012816339 , 50.770000457655","86.6409988399246 , 47.522998810147","86.597999572922 , 46.0629997251572","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA"," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , ","list(c(66.5439987180665, 62.463001250907, 61.5060005190088, 58.0180015560271, 54.5610008237291, 50.770000457655, 47.522998810147, 46.0629997251572, 86.6549987795701, 86.7549972532207, 86.8050003054198, 86.7870025636175, 86.7460021972437, 86.7060012816339, 86.6409988399246, 86.597999572922, 0, 0, 0, 0, 0, 0, 0, 0))"
Eurasian:North American,Transform Boundary,"86.597999572922 , 46.0629997251572","86.5609970096044 , 46.313999176321","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA"," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , ","list(c(46.0629997251572, 46.313999176321, 86.597999572922, 86.5609970096044, 0, 0))"
Eurasian:North American,Divergent Boundary,"86.4039611818631 , 70.0894851683059","86.6060028079833 , 66.3010025028633","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA"," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , ","list(c(70.0894851683059, 66.3010025028633, 86.4039611818631, 86.6060028079833, 0, 0))"
Eurasian:North American,Divergent Boundary,"86.5609970096044 , 46.313999176321","86.496002196844 , 43.4790000913812","86.431999206798 , 41.7560005189089","86.2910003658743 , 38.300998688139","86.1610031132032 , 35.6069984432236","86.053001403592 , 33.3400001521853","85.9079971315624 , 30.9720001218082","85.8099975585405 , 29.2290000919807","85.8740005494858 , 28.1429996489147","85.8669967651886 , 27.4270000456157","85.8590011599756 , 25.3829994198874","85.8170013428378 , 23.3470001217582","85.7990036010354 , 21.3430004116398","85.6839981080263 , 19.2849998471652","85.5910034177735 , 17.88999938986","85.4850006105897 , 16.0629997257568","85.3799972532707 , 14.6660003660242","85.2809982303841 , 13.2419996262818","85.1370010371682 , 11.7040004732433","85.067001342538 , 10.6590003965511","84.958000183062 , 9.80900001513862","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA"," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , ","list(c(46.313999176321, 43.4790000913812, 41.7560005189089, 38.300998688139, 35.6069984432236, 33.3400001521853, 30.9720001218082, 29.2290000919807, 28.1429996489147, 27.4270000456157, 25.3829994198874, 23.3470001217582, 21.3430004116398, 19.2849998471652, 17.88999938986, 16.0629997257568, 14.6660003660242, 13.2419996262818, 11.7040004732433, 10.6590003965511, 9.80900001513862, 86.5609970096044, 86.496002196844, 86.431999206798, 86.2910003658743, 86.1610031132032, 86.053001403592, 85.9079971315624, 
85.8099975585405, 85.8740005494858, 85.8669967651886, 85.8590011599756, 85.8170013428378, 85.7990036010354, 85.6839981080263, 85.5910034177735, 85.4850006105897, 85.3799972532707, 85.2809982303841, 85.1370010371682, 85.067001342538, 84.958000183062, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0))"
Eurasian:North American,Transform Boundary,"84.958000183062 , 9.80900001513862","85.0090026851259 , 8.93799972560691","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA"," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , ","list(c(9.80900001513862, 8.93799972560691, 84.958000183062, 85.0090026851259, 0, 0))"
Eurasian:North American,Divergent Boundary,"85.0090026851259 , 8.93799972560691","84.8980026241219 , 8.13399982423255","84.7620010379176 , 6.66499996177885","84.6320037843472 , 5.17700004601534","84.5699996949301 , 4.50799989687778","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA"," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , ","list(c(8.93799972560691, 8.13399982423255, 6.66499996177885, 5.17700004601534, 4.50799989687778, 85.0090026851259, 84.8980026241219, 84.7620010379176, 84.6320037843472, 84.5699996949301, 0, 0, 0, 0, 0))"
Eurasian:North American,Transform Boundary,"84.5699996949301 , 4.50799989687778","84.5970001216584 , 4.03499984706537","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA"," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , ","list(c(4.50799989687778, 4.03499984706537, 84.5699996949301, 84.5970001216584, 0, 0))"
Eurasian:North American,Divergent Boundary,"84.5970001216584 , 4.03499984706537","84.5609970091048 , 3.84800004946277","84.4619979862181 , 3.02399992905356","84.3430023191018 , 2.23499989472941","84.2229995731718 , 1.30099999865104","84.1019973755785 , 0.405000001448968","83.9960021973436 , -0.469000011841047","83.8639984132962 , -1.20599997022242","83.6900024410598 , -2.36299991571349","83.5699996951299 , -3.20399999630274","83.4300003049702 , -4.14799976357818","83.249000549336 , -5.1539998053467","82.9999999997003 , -6.23400020554499","82.8679962156529 , -7.21199989318046","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA"," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , ","list(c(4.03499984706537, 3.84800004946277, 3.02399992905356, 2.23499989472941, 1.30099999865104, 0.405000001448968, -0.469000011841047, -1.20599997022242, -2.36299991571349, -3.20399999630274, -4.14799976357818, -5.1539998053467, -6.23400020554499, -7.21199989318046, 84.5970001216584, 84.5609970091048, 84.4619979862181, 84.3430023191018, 84.2229995731718, 84.1019973755785, 83.9960021973436, 83.8639984132962, 83.6900024410598, 83.5699996951299, 83.4300003049702, 83.249000549336, 82.9999999997003, 
82.8679962156529, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0))"
Eurasian:North American,Transform Boundary,"82.8679962156529 , -7.21199989318046","82.6910018920237 , -5.86499977072282","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA","NA , NA"," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , "," , ","list(c(-7.21199989318046, -5.86499977072282, 82.8679962156529, 82.6910018920237, 0, 0))"
